,Date,Price (USD per Barrel),SLB Price (USD),SP500 Price (USD),Month,Latin America,Europe,Africa,Middle East,Asia Pacific,Total Intl.,Canada,U.S.,Total World,Year
0,1986-01-01,22.93,8.34,211.78,Jan,421,237,121,200,269,1248,437,1810,3495,1986
1,1986-02-01,15.46,7.5,226.92,Feb,411,232,113,202,267,1225,454,1444,3123,1986
2,1986-03-01,12.61,7.94,238.9,Mar,405,233,104,198,255,1195,347,1139,2681,1986
3,1986-04-01,12.84,7.5,235.52,Apr,401,229,101,194,247,1172,66,906,2144,1986
4,1986-05-01,15.38,8.09,247.35,May,393,199,92,193,241,1118,39,781,1938,1986
5,1986-06-01,13.43,8.59,250.84,Jun,386,179,92,185,240,1082,64,705,1851,1986
6,1986-07-01,11.59,7.19,236.12,Jul,343,170,92,174,237,1016,70,686,1772,1986
7,1986-08-01,15.1,8.5,252.93,Aug,337,160,90,169,235,991,102,730,1823,1986
8,1986-09-01,14.87,8.44,231.32,Sep,335,147,89,164,234,969,102,755,1826,1986
9,1986-10-01,14.9,8.0,243.98,Oct,343,139,89,161,245,977,107,819,1903,1986
10,1986-11-01,15.22,8.31,249.22,Nov,330,138,79,159,238,944,114,899,1957,1986
11,1986-12-01,16.11,7.94,242.17,Dec,318,132,86,152,242,930,239,963,2132,1986
12,1987-01-01,18.65,9.09,274.08,Jan,325,136,89,149,242,941,284,900,2125,1987
13,1987-02-01,17.75,9.41,284.2,Feb,337,136,89,146,245,953,138,818,1909,1987
14,1987-03-01,18.3,10.09,291.7,Mar,331,130,90,157,241,949,168,772,1889,1987
15,1987-04-01,18.68,10.22,288.36,Apr,331,139,93,158,247,968,60,754,1782,1987
16,1987-05-01,19.44,10.62,290.1,May,331,137,94,156,243,961,61,763,1785,1987
17,1987-06-01,20.07,11.44,304.0,Jun,337,139,92,149,252,969,122,788,1879,1987
18,1987-07-01,21.34,12.38,318.66,Jul,334,146,96,143,246,965,161,901,2027,1987
19,1987-08-01,20.31,11.84,329.8,Aug,335,163,89,150,244,981,182,1003,2166,1987
20,1987-09-01,19.53,11.69,321.83,Sep,339,159,94,154,241,987,248,1101,2336,1987
21,1987-10-01,19.86,8.75,251.79,Oct,345,174,88,146,245,998,274,1124,2396,1987
22,1987-11-01,18.85,7.41,230.3,Nov,343,188,94,151,258,1034,275,1152,2461,1987
23,1987-12-01,17.28,7.19,247.08,Dec,354,193,87,156,261,1051,198,1162,2411,1987
24,1988-01-01,17.13,8.16,257.07,Jan,342,180,83,154,258,1017,190,1076,2283,1988
25,1988-02-01,16.8,8.72,267.82,Feb,342,180,84,155,264,1025,312,976,2313,1988
26,1988-03-01,16.2,8.59,258.89,Mar,343,177,91,157,269,1037,313,951,2301,1988
27,1988-04-01,17.86,9.38,261.33,Apr,340,170,95,163,265,1033,102,917,2052,1988
28,1988-05-01,17.42,9.34,262.16,May,338,169,101,155,262,1025,147,891,2063,1988
29,1988-06-01,16.53,8.38,273.5,Jun,343,174,98,152,260,1027,190,897,2114,1988
30,1988-07-01,15.5,8.62,272.02,Jul,333,172,92,155,280,1032,177,912,2121,1988
31,1988-08-01,15.52,8.22,261.52,Aug,323,172,99,158,277,1029,185,930,2144,1988
32,1988-09-01,14.54,8.44,271.91,Sep,330,173,91,164,276,1034,257,927,2218,1988
33,1988-10-01,13.77,8.47,278.97,Oct,333,160,93,162,281,1029,193,923,2145,1988
34,1988-11-01,14.14,8.34,273.7,Nov,329,153,98,259,274,1113,154,918,2185,1988
35,1988-12-01,16.38,8.16,277.72,Dec,329,151,85,171,241,977,130,924,2031,1988
36,1989-01-01,18.02,9.0,297.47,Jan,313,147,88,167,276,991,123,841,1955,1989
37,1989-02-01,17.94,8.84,288.86,Feb,319,155,92,168,274,1008,187,762,1957,1989
38,1989-03-01,19.48,9.5,294.87,Mar,270,151,81,172,271,945,221,753,1919,1989
39,1989-04-01,21.07,9.84,309.64,Apr,262,154,79,165,266,926,105,771,1802,1989
40,1989-05-01,20.12,9.84,320.52,May,258,158,76,154,272,918,63,754,1735,1989
41,1989-06-01,20.05,9.94,317.98,Jun,246,152,77,148,266,889,103,795,1787,1989
42,1989-07-01,19.78,10.59,346.08,Jul,238,146,80,161,272,897,103,832,1832,1989
43,1989-08-01,18.58,11.09,351.45,Aug,234,142,73,157,271,877,103,886,1866,1989
44,1989-09-01,19.59,10.69,349.15,Sep,239,146,85,158,263,891,105,955,1951,1989
45,1989-10-01,20.1,10.66,340.36,Oct,239,142,80,160,277,898,138,984,2020,1989
46,1989-11-01,19.86,11.66,345.99,Nov,234,139,90,160,272,895,143,1041,2079,1989
47,1989-12-01,21.1,12.28,353.4,Dec,229,144,91,162,274,900,162,1065,2127,1989
