"Date","Price","Open","High","Low","Vol.","Change %"
"2023-03-01","50.53","53.25","56.12","48.35","8.61M","-5.04%"
"2023-02-01","53.21","56.91","57.77","51.97","8.46M","-6.62%"
"2023-01-01","56.98","52.86","62.78","50.20","6.10M","6.58%"
"2022-12-01","53.46","52.32","54.18","46.83","211.17M","3.71%"
"2022-11-01","51.55","52.70","56.04","48.86","283.75M","-0.92%"
"2022-10-01","52.03","37.58","53.89","37.32","354.12M","44.93%"
"2022-09-01","35.90","37.55","40.48","33.80","246.24M","-5.90%"
"2022-08-01","38.15","36.24","40.90","33.43","242.71M","3.02%"
"2022-07-01","37.03","35.96","37.20","30.65","247.15M","3.55%"
"2022-06-01","35.76","47.04","49.83","34.37","344.19M","-22.19%"
"2022-05-01","45.96","38.34","48.69","36.96","273.96M","17.82%"
"2022-04-01","39.01","41.20","44.51","36.95","245.58M","-5.57%"
"2022-03-01","41.31","39.64","46.27","36.67","470.07M","5.28%"
"2022-02-01","39.24","38.77","42.64","37.29","288.73M","0.44%"
"2022-01-01","39.07","30.07","41.04","29.98","340.24M","30.45%"
"2021-12-01","29.95","29.58","31.26","27.65","202.05M","4.43%"
"2021-11-01","28.68","32.75","34.64","28.34","251.08M","-11.10%"
"2021-10-01","32.26","29.84","34.99","29.48","264.02M","8.84%"
"2021-09-01","29.64","28.07","31.58","26.44","232.54M","5.71%"
"2021-08-01","28.04","28.85","29.71","25.90","206.03M","-2.74%"
"2021-07-01","28.83","33.00","33.56","25.91","223.25M","-9.93%"
"2021-06-01","32.01","31.96","36.87","31.28","269.12M","2.17%"
"2021-05-01","31.33","27.53","34.33","27.48","282.49M","15.82%"
"2021-04-01","27.05","27.45","28.34","24.52","241.68M","-0.51%"
"2021-03-01","27.19","28.76","30.41","26.19","355.81M","-2.58%"
"2021-02-01","27.91","22.50","29.87","21.80","253.17M","25.66%"
"2021-01-01","22.21","22.08","26.73","21.23","290.88M","1.74%"
"2020-12-01","21.83","21.37","23.89","20.87","246.66M","5.00%"
"2020-11-01","20.79","15.12","22.50","14.78","312.50M","39.16%"
"2020-10-01","14.94","15.36","16.60","13.70","360.10M","-3.98%"
"2020-09-01","15.56","18.52","19.68","15.42","281.53M","-18.15%"
